relationship	source	target	output	correct (manual)	structure_types	wrong_honorific_types	honorific_types
あなたは山本に敬語を使いません。あなたと山本は木村に敬語を使いません。	木村に山本が与える。	木村に山本が与える。	木村に山本が与えられる	0	scrambling#		NA#
あなたは鈴木に敬語を使いません。あなたと鈴木は佐々木さんに敬語を使います。	鈴木に佐々木さんが感謝する。	鈴木に佐々木さんが感謝なさる。	佐々木さんが鈴木に感謝します	0	scrambling#		SH#
あなたは中村に敬語を使いません。あなたと中村は井上さんに敬語を使います。	井上さんに中村が依頼する。	井上さんに中村がご依頼する。	井上さんに、中村がお願いします	0	scrambling#		OH1#
あなたは高橋社長に敬語を使います。あなたと高橋社長は山田先生に敬語を使います。	高橋社長に山田先生が会う。	高橋社長に山田先生がお会いになる。	高橋社長が山田先生に会う	0	scrambling#		SH#
あなたは鈴木さんに敬語を使います。あなたと鈴木さんは中村先輩に敬語を使います。	中村先輩に鈴木さんが依頼する。	中村先輩に鈴木さんがご依頼する。	中村先輩に、鈴木さんからの依頼を受けます	0	scrambling#		OH1#
あなたは林に敬語を使いません。あなたと林は山田に敬語を使いません。	山田を林が見送る。	山田を林が見送る。	山田を林がお見送りします	0	scrambling#		NA#
あなたは松本に敬語を使いません。あなたと松本は山本社長に敬語を使います。	松本を山本社長が紹介する。	松本を山本社長が紹介なさる。	松本を山本社長がご紹介します	0	scrambling#		SH#
あなたは斎藤に敬語を使いません。あなたと斎藤は加藤先輩に敬語を使います。	加藤先輩を斎藤が手伝う。	加藤先輩を斎藤がお手伝いする。	斎藤が加藤先輩に手伝ってくださいます	0	scrambling#		OH1#
あなたは加藤社長に敬語を使います。あなたと加藤社長は小林教授に敬語を使います。	加藤社長を小林教授が呼ぶ。	加藤社長を小林教授がお呼びになる。	小林教授が加藤社長をお呼びになる	1	scrambling#		SH#
あなたは高橋さんに敬語を使います。あなたと高橋さんは加藤様に敬語を使います。	加藤様を高橋さんが見送る。	加藤様を高橋さんがお見送りする。	高橋さんが加藤様をお見送りします	1	scrambling#		OH1#
あなたは田中に敬語を使いません。あなたと田中は加藤に敬語を使いません。	田中が加藤が食べると思う。	田中が加藤が食べると思う。	田中さんが加藤さんが食べると思います	1	indirect-speech#center-embedding		NA#NA
あなたは田中に敬語を使いません。あなたと田中は高橋先輩に敬語を使います。	高橋先輩が田中が行くと言う。	高橋先輩が田中が行くとおっしゃる。	高橋先輩が田中さんが行くと言われました	1	indirect-speech#center-embedding		SH#NA
あなたは小林に敬語を使いません。あなたと小林は加藤先生に敬語を使います。	小林が加藤先生が見ると言う。	小林が加藤先生がご覧になると言う。	小林が加藤先生に見られると言う	0	indirect-speech#center-embedding		NA#SH
あなたは山本さんに敬語を使います。あなたと山本さんは山口さんに敬語を使います。	山口さんが山本さんが来ると理解する。	山口さんが山本さんがおいでになるとご理解になる。	山口さんが山本さんが来ることを理解される	0	indirect-speech#center-embedding		SH#SH
あなたは加藤教授に敬語を使います。あなたと加藤教授は渡辺さんに敬語を使います。	加藤教授が渡辺さんが見ると思う。	加藤教授が渡辺さんがご覧になるとお思いになる。	加藤教授が渡辺さんに見えると思います	0	indirect-speech#center-embedding		SH#SH
あなたは佐藤に敬語を使いません。あなたと佐藤は山本に敬語を使いません。	山本が食べると佐藤が理解する。	山本が食べると佐藤が理解する。	山本が食べると、佐藤が理解される	0	indirect-speech#scrambling		NA#NA
あなたは林に敬語を使いません。あなたと林は山田社長に敬語を使います。	林が聞くと山田社長が知る。	林が聞くと山田社長が知りなさる。	林が聞くと山田社長が知らせていただく	0	indirect-speech#scrambling		SH#NA
あなたは中村に敬語を使いません。あなたと中村は山本社長に敬語を使います。	山本社長が見ると中村が考える。	山本社長がご覧になると中村が考える。	山本社長が見たとき、中村が考えると思います	0	indirect-speech#scrambling		NA#SH
あなたは井上様に敬語を使います。あなたと井上様は山口先輩に敬語を使います。	井上様が帰ると山口先輩が思う。	井上様がお帰りになると山口先輩が思いなさる。	井上さまが帰られると、山口先輩が思われるでしょう	1	indirect-speech#scrambling		SH#SH
あなたは田中先生に敬語を使います。あなたと田中先生は小林様に敬語を使います。	小林様が読むと田中先生が理解する。	小林様がお読みになると田中先生が理解なさる。	小林様が読むと田中先生が理解いたします	0	indirect-speech#scrambling		SH#SH
あなたは林に敬語を使いません。あなたと林は山本に敬語を使いません。	林が「山本が受け取る」と考える。	林が「山本が受け取る」と考える。	林が「山本さんが受け取られる」と考える	0	direct-speech#center-embedding		NA#NA
あなたは吉田に敬語を使いません。あなたと吉田は佐々木先生に敬語を使います。	佐々木先生が「吉田が行く」と思う。	佐々木先生が「吉田が行く」とお思いになる。	佐々木先生が「吉田さんが行く」と思われる	1	direct-speech#center-embedding		SH#NA
あなたは伊藤に敬語を使いません。あなたと伊藤は佐藤先輩に敬語を使います。	伊藤が「佐藤先輩が読む」と言う。	伊藤が「佐藤先輩が読みなさる」と言う。	伊藤が「佐藤先輩が読まれる」と言う	1	direct-speech#center-embedding		NA#SH
