relationship	source	target	output	correct	correct (manual)	structure_types	wrong_honorific_types	honorific_types
あなたは山口に敬語を使いません。	山口が帰る。	山口が帰る。	山口が帰る	1	1	#		NA#
あなたは木村先輩に敬語を使います。	木村先輩が聞く。	木村先輩がお聞きになる。	木村先輩がお聞きになる	1	1	#		SH#
あなたは佐々木に敬語を使いません。あなたと佐々木は斎藤に敬語を使いません。	佐々木が斎藤に会う。	佐々木が斎藤に会う。	佐々木が斎藤に会う	1	1	#		NA#
あなたは佐藤に敬語を使いません。あなたと佐藤は山本教授に敬語を使います。	山本教授が佐藤に依頼する。	山本教授が佐藤にご依頼になる。	山本教授が佐藤にご依頼になる	1	1	#		SH#
あなたは中村に敬語を使いません。あなたと中村は佐々木先輩に敬語を使います。	中村が佐々木先輩に依頼する。	中村が佐々木先輩にご依頼する。	中村が佐々木先輩にご依頼する	1	1	#		OH1#
あなたは高橋教授に敬語を使います。あなたと高橋教授は伊藤さんに敬語を使います。	伊藤さんが高橋教授に会う。	伊藤さんが高橋教授にお会いになる。	伊藤さんが高橋教授にお会いになる	1	1	#		SH#
あなたは山口教授に敬語を使います。あなたと山口教授は伊藤教授に敬語を使います。	山口教授が伊藤教授に与える。	山口教授が伊藤教授に差し上げる。	山口教授が伊藤教授に差し上げる	1	1	#		OH1#
あなたは斎藤に敬語を使いません。あなたと斎藤は松本に敬語を使いません。	斎藤が松本を待つ。	斎藤が松本を待つ。	斎藤が松本を待ちなさる	0	0	#		NA#
あなたは山田に敬語を使いません。あなたと山田は木村博士に敬語を使います。	木村博士が山田を紹介する。	木村博士が山田を紹介なさる。	木村博士が山田をご紹介する	0	0	#		SH#
あなたは佐々木に敬語を使いません。あなたと佐々木は佐藤様に敬語を使います。	佐々木が佐藤様を見送る。	佐々木が佐藤様をお見送りする。	佐々木が佐藤様をお見送りする	1	1	#		OH1#
あなたは林博士に敬語を使います。あなたと林博士は松本教授に敬語を使います。	松本教授が林博士を待つ。	松本教授が林博士を待ちなさる。	松本教授が林博士をお待ちになる	0	1	#		SH#
あなたは中村さんに敬語を使います。あなたと中村さんは山田社長に敬語を使います。	中村さんが山田社長を見送る。	中村さんが山田社長をお見送りする。	中村さんが山田社長をお見送りする	1	1	#		OH1#
あなたは小林に敬語を使いません。	小林がご覧になる。	小林が見る。	小林が見る	1	1	#	SH#	NA#
あなたは林に敬語を使いません。	林がお受け取りする。	林が受け取る。	林が受け取る	1	1	#	OH1#	NA#
あなたは高橋社長に敬語を使います。	高橋社長が伺う。	高橋社長がおいでになる。	高橋社長がおいでになる	1	1	#	OH1#	SH#
あなたは林に敬語を使いません。あなたと林は伊藤に敬語を使いません。	林が伊藤に感謝なさる。	林が伊藤に感謝する。	林が伊藤に感謝する	1	1	#	SH#	NA#
あなたは中村に敬語を使いません。あなたと中村は斎藤に敬語を使いません。	中村が斎藤に感謝申し上げる。	中村が斎藤に感謝する。	中村が斎藤に感謝する	1	1	#	OH1#	NA#
あなたは井上に敬語を使いません。あなたと井上は林博士に敬語を使います。	林博士が井上にお会いする。	林博士が井上にお会いになる。	林博士が井上に会う	0	0	#	OH1#	SH#
あなたは吉田に敬語を使いません。あなたと吉田は井上社長に敬語を使います。	吉田が井上社長に依頼なさる。	吉田が井上社長にご依頼する。	吉田が井上社長にご依頼する	1	1	#	SH#	OH1#
あなたは斎藤博士に敬語を使います。あなたと斎藤博士は山本先生に敬語を使います。	山本先生が斎藤博士に感謝申し上げる。	山本先生が斎藤博士に感謝なさる。	山本先生が斎藤博士に感謝なさる	1	1	#	OH1#	SH#
あなたは高橋先輩に敬語を使います。あなたと高橋先輩は松本博士に敬語を使います。	高橋先輩が松本博士に与えなさる。	高橋先輩が松本博士に差し上げる。	高橋先輩が松本博士に差し上げる	1	1	#	SH#	OH1#
あなたは山田に敬語を使いません。あなたと山田は佐々木に敬語を使いません。	山田が佐々木をお呼びになる。	山田が佐々木を呼ぶ。	山田が佐々木を呼ぶ	1	1	#	SH#	NA#
あなたは井上に敬語を使いません。あなたと井上は山口に敬語を使いません。	井上が山口をお呼びする。	井上が山口を呼ぶ。	井上が山口を呼ぶ	1	1	#	OH1#	NA#
あなたは鈴木に敬語を使いません。あなたと鈴木は田中社長に敬語を使います。	田中社長が鈴木をお呼びする。	田中社長が鈴木をお呼びになる。	田中社長が鈴木を呼びなさる	0	1	#	OH1#	SH#
あなたは松本に敬語を使いません。あなたと松本は山口様に敬語を使います。	松本が山口様を見送りなさる。	松本が山口様をお見送りする。	松本が山口様をお見送りする	1	1	#	SH#	OH1#
あなたは中村先生に敬語を使います。あなたと中村先生は山本さんに敬語を使います。	山本さんが中村先生をお呼びする。	山本さんが中村先生を呼びなさる。	山本さんが中村先生を呼びなさる	1	1	#	OH1#	SH#
